allegorical_A,allegorical,-,-
allegretto_A,allegretto,-,-
allegro_A,allegro,-,-
allergic_A,allergic,-,-
alliterative_A,alliterative,-,-
allowable_A,allowable,-,-
alluring_A,alluring,-,-
allusive_A,allusive,-,-
alluvial_A,alluvial,-,-
almighty_A,almighty,-,-
alone_A,alone,-,-
aloof_A,aloof,-,-
alphabetical_A,alphabetical,-,-
alpine_A,alpine,-,-
alright_A,alright,-,-
alterable_A,alterable,-,-
alternate_A,alternate,-,-
alternative_A,alternative,-,-
altruistic_A,altruistic,-,-
alveolar_A,alveolar,-,-
amateurish_A,amateurish,-,-
amatory_A,amatory,-,-
amazing_A,amazing,-,-
ambassadorial_A,ambassadorial,-,-
ambidextrous_A,ambidextrous,-,-
ambient_A,ambient,-,-
ambiguous_A,ambiguous,-,-
ambitious_A,ambitious,-,-
ambivalent_A,ambivalent,-,-
amenable_A,amenable,-,-
amendable_A,amendable,-,-
amiable_A,amiable,-,-
amicable_A,amicable,-,-
amiss_A,amiss,-,-
ammoniated_A,ammoniated,-,-
amoebic_A,amoebic,-,-
amoral_A,amoral,-,-
amorous_A,amorous,-,-
amorphous_A,amorphous,-,-
amphibious_A,amphibious,-,-
ample_A,ample,ampler,amplest
amusing_A,amusing,-,-
anachronistic_A,anachronistic,-,-
anaemic_A,anaemic,-,-
anaesthetic_A,anaesthetic,-,-
anal_A,anal,-,-
analogous_A,analogous,-,-
analytic_A,analytic,-,-
analytical_A,analytical,-,-
anapaestic_A,anapaestic,-,-
anarchic_A,anarchic,-,-
anatomical_A,anatomical,-,-
ancestral_A,ancestral,-,-
ancient_A,ancient,-,-
ancillary_A,ancillary,-,-
andante_A,andante,-,-
anecdotal_A,anecdotal,-,-
aneroid_A,aneroid,-,-
anesthetic_A,anesthetic,-,-
angelic_A,angelic,-,-
angry_A,angry,angrier,angriest
anguished_A,anguished,-,-
angular_A,angular,-,-
animate_A,animate,-,-
animatedly_A,animatedly,-,-
annoying_A,annoying,-,-
annual_A,annual,-,-
annular_A,annular,-,-
anodyne_A,anodyne,-,-
anomalous_A,anomalous,-,-
anonymous_A,anonymous,-,-
another_A,another,-,-
answerable_A,answerable,-,-
antagonistic_A,antagonistic,-,-
antarctic_A,antarctic,-,-
antecedent_A,antecedent,-,-
antediluvian_A,antediluvian,-,-
antenatal_A,antenatal,-,-
antenuptial_A,antenuptial,-,-
antepenultimate_A,antepenultimate,-,-
anterior_A,anterior,-,-
anthropoid_A,anthropoid,-,-
anthropological_A,anthropological,-,-
antibiotic_A,antibiotic,-,-
anticipatory_A,anticipatory,-,-
antipathetic_A,antipathetic,-,-
antiquarian_A,antiquarian,-,-
antiquated_A,antiquated,-,-
antique_A,antique,-,-
antiseptic_A,antiseptic,-,-
antisocial_A,antisocial,-,-
antitank_A,antitank,-,-
antithetic_A,antithetic,-,-
antithetical_A,antithetical,-,-
antitrade_A,antitrade,-,-
anxious_A,anxious,-,-
any_A,any,-,-
apathetic_A,apathetic,-,-
aperient_A,aperient,-,-
aphrodisiac_A,aphrodisiac,-,-
apish_A,apish,-,-
apocalyptic_A,apocalyptic,-,-
apocryphal_A,apocryphal,-,-
apologetic_A,apologetic,-,-
apoplectic_A,apoplectic,-,-
apostate_A,apostate,-,-
apostolic_A,apostolic,-,-
appalling_A,appalling,-,-
apparent_A,apparent,-,-
appealing_A,appealing,-,-
appellant_A,appellant,-,-
appetizing_A,appetizing,-,-
applicable_A,applicable,-,-
applied_A,applied,-,-
apposite_A,apposite,-,-
appreciable_A,appreciable,-,-
appreciative_A,appreciative,-,-
apprehensible_A,apprehensible,-,-
apprehensive_A,apprehensive,-,-
approachable_A,approachable,-,-
appropriate_A,appropriate,-,-
approximate_A,approximate,-,-
apropos_A,apropos,-,-
apt_A,apt,apter,aptest
aquatic_A,aquatic,-,-
aqueous_A,aqueous,-,-
aquiline_A,aquiline,-,-
arable_A,arable,-,-
arbitrary_A,arbitrary,-,-
arboreal_A,arboreal,-,-
arcane_A,arcane,-,-
arch_A,arch,-,-
archaeological_A,archaeological,-,-
archaic_A,archaic,-,-
archetypal_A,archetypal,-,-
architectural_A,architectural,-,-
arctic_A,arctic,-,-
ardent_A,ardent,-,-
arduous_A,arduous,-,-
argent_A,argent,-,-
arguable_A,arguable,-,-
argumentative_A,argumentative,-,-
arid_A,arid,-,-
aristocratic_A,aristocratic,-,-
arithmetical_A,arithmetical,-,-
armorial_A,armorial,-,-
armoured_A,armoured,-,-
aromatic_A,aromatic,-,-
arrant_A,arrant,-,-
arresting_A,arresting,-,-
arrogant_A,arrogant,-,-
arterial_A,arterial,-,-
artesian_A,artesian,-,-
artful_A,artful,-,-
arthritic_A,arthritic,-,-
articulate_A,articulate,-,-
artificial_A,artificial,-,-
artistic_A,artistic,-,-
artless_A,artless,-,-
arty_A,arty,-,-
ascertainable_A,ascertainable,-,-
ascetic_A,ascetic,-,-
ascorbic_A,ascorbic,-,-
ascribable_A,ascribable,-,-
aseptic_A,aseptic,-,-
asexual_A,asexual,-,-
ashamed_A,ashamed,-,-
ashen_A,ashen,-,-
ashy_A,ashy,-,-
asinine_A,asinine,-,-
askew_A,askew,-,-
asleep_A,asleep,-,-
aspectual_A,aspectual,-,-
assailable_A,assailable,-,-
assertive_A,assertive,-,-
assiduous_A,assiduous,-,-
assignable_A,assignable,-,-
associate_A,associate,-,-
assorted_A,assorted,-,-
assured_A,assured,-,-
asthmatic_A,asthmatic,-,-
astigmatic_A,astigmatic,-,-
astir_A,astir,-,-
astonishing_A,astonishing,-,-
astral_A,astral,-,-
astray_A,astray,-,-
astride_A,astride,-,-
astringent_A,astringent,-,-
astrological_A,astrological,-,-
astronomical_A,astronomical,-,-
astute_A,astute,-,-
asymmetric_A,asymmetric,-,-
asymmetrical_A,asymmetrical,-,-
asymptotic_A,asymptotic,-,-
atavistic_A,atavistic,-,-
atheistic_A,atheistic,-,-
athirst_A,athirst,-,-
athletic_A,athletic,-,-
atmospheric_A,atmospheric,-,-
atomic_A,atomic,-,-
atonal_A,atonal,-,-
atrabilious_A,atrabilious,-,-
atrocious_A,atrocious,-,-
attainable_A,attainable,-,-
attendant_A,attendant,-,-
attentive_A,attentive,-,-
attractive_A,attractive,-,-
