aakkosellinen, aakkosellisen, aakkosellista, aakkosellisena, aakkoselliseen, aakkosellisten, aakkosellisia, aakkosellisina, aakkosellisissa, aakkosellisiin
 miellyttävä, miellyttävän, miellyttävää, miellyttävänä, miellyttävään, miellyttävien, miellyttäviä, miellyttävinä, miellyttävissä, miellyttäviin
 mieluinen, mieluisen, mieluista, mieluisena, mieluiseen, mieluisten, mieluisia, mieluisina, mieluisissa, mieluisiin
 mieluisa, mieluisan, mieluisaa, mieluisana, mieluisaan, mieluisien, mieluisia, mieluisina, mieluisissa, mieluisiin
 miesmäinen, miesmäisen, miesmäistä, miesmäisenä, miesmäiseen, miesmäisten, miesmäisiä, miesmäisinä, miesmäisissä, miesmäisiin
 mietteliäs, mietteliään, mietteliästä, mietteliäänä, mietteliääseen, mietteliäiden, mietteliäitä, mietteliäinä, mietteliäissä, mietteliäisiin
 miettiväinen, miettiväisen, miettiväistä, miettiväisenä, miettiväiseen, miettiväisten, miettiväisiä, miettiväisinä, miettiväisissä, miettiväisiin
 miiminen, miimisen, miimistä, miimisenä, miimiseen, miimisten, miimisiä, miimisinä, miimisissä, miimisiin
 mikroskooppinen, mikroskooppisen, mikroskooppista, mikroskooppisena, mikroskooppiseen, mikroskooppisten, mikroskooppisia, mikroskooppisina, mikroskooppisissa, mikroskooppisiin
 moderni, modernin, modernia, modernina, moderniin, modernien, moderneja, moderneina, moderneissa, moderneihin
 moitittava, moitittavan, moitittavaa, moitittavana, moitittavaan, moitittavien, moitittavia, moitittavina, moitittavissa, moitittaviin
 moni, monen, monta, monena, moneen, monten, monia, monina, monissa, moniin
 monotoninen, monotonisen, monotonista, monotonisena, monotoniseen, monotonisten, monotonisia, monotonisina, monotonisissa, monotonisiin
 monumentaalinen, monumentaalisen, monumentaalista, monumentaalisena, monumentaaliseen, monumentaalisten, monumentaalisia, monumentaalisina, monumentaalisissa, monumentaalisiin
 moraalinen, moraalisen, moraalista, moraalisena, moraaliseen, moraalisten, moraalisia, moraalisina, moraalisissa, moraalisiin
 muhkea, muhkean, muhkeaa, muhkeana, muhkeaan, muhkeiden, muhkeita, muhkeina, muhkeissa, muhkeisiin
 muikea, muikean, muikeaa, muikeana, muikeaan, muikeiden, muikeita, muikeina, muikeissa, muikeisiin
 mukaansatempaava, mukaansatempaavan, mukaansatempaavaa, mukaansatempaavana, mukaansatempaavaan, mukaansatempaavien, mukaansatempaavia, mukaansatempaavina, mukaansatempaavissa, mukaansatempaaviin
 mukainen, mukaisen, mukaista, mukaisena, mukaiseen, mukaisten, mukaisia, mukaisina, mukaisissa, mukaisiin
 mukava, mukavan, mukavaa, mukavana, mukavaan, mukavien, mukavia, mukavina, mukavissa, mukaviin
 mullistava, mullistavan, mullistavaa, mullistavana, mullistavaan, mullistavien, mullistavia, mullistavina, mullistavissa, mullistaviin
 muodikas, muodikkaan, muodikasta, muodikkaana, muodikkaaseen, muodikkaiden, muodikkaita, muodikkaina, muodikkaissa, muodikkaisiin
 muodollinen, muodollisen, muodollista, muodollisena, muodolliseen, muodollisten, muodollisia, muodollisina, muodollisissa, muodollisiin
 murhaava, murhaavan, murhaavaa, murhaavana, murhaavaan, murhaavien, murhaavia, murhaavina, murhaavissa, murhaaviin
 murheellinen, murheellisen, murheellista, murheellisena, murheelliseen, murheellisten, murheellisia, murheellisina, murheellisissa, murheellisiin
 murskaava, murskaavan, murskaavaa, murskaavana, murskaavaan, murskaavien, murskaavia, murskaavina, murskaavissa, murskaaviin
 murteellinen, murteellisen, murteellista, murteellisena, murteelliseen, murteellisten, murteellisia, murteellisina, murteellisissa, murteellisiin
 musiikillinen, musiikillisen, musiikillista, musiikillisena, musiikilliseen, musiikillisten, musiikillisia, musiikillisina, musiikillisissa, musiikillisiin
 musikaalinen, musikaalisen, musikaalista, musikaalisena, musikaaliseen, musikaalisten, musikaalisia, musikaalisina, musikaalisissa, musikaalisiin
 mustasukkainen, mustasukkaisen, mustasukkaista, mustasukkaisena, mustasukkaiseen, mustasukkaisten, mustasukkaisia, mustasukkaisina, mustasukkaisissa, mustasukkaisiin
 mutkikas, mutkikkaan, mutkikasta, mutkikkaana, mutkikkaaseen, mutkikkaiden, mutkikkaita, mutkikkaina, mutkikkaissa, mutkikkaisiin
 myrkyllinen, myrkyllisen, myrkyllistä, myrkyllisenä, myrkylliseen, myrkyllisten, myrkyllisiä, myrkyllisinä, myrkyllisissä, myrkyllisiin
 mystinen, mystisen, mystistä, mystisenä, mystiseen, mystisten, mystisiä, mystisinä, mystisissä, mystisiin
 myönteinen, myönteisen, myönteistä, myönteisenä, myönteiseen, myönteisten, myönteisiä, myönteisinä, myönteisissä, myönteisiin
 myöntyvä, myöntyvän, myöntyvää, myöntyvänä, myöntyvään, myöntyvien, myöntyviä, myöntyvinä, myöntyvissä, myöntyviin
 myöntävä, myöntävän, myöntävää, myöntävänä, myöntävään, myöntävien, myöntäviä, myöntävinä, myöntävissä, myöntäviin
 myötäinen, myötäisen, myötäistä, myötäisenä, myötäiseen, myötäisten, myötäisiä, myötäisinä, myötäisissä, myötäisiin
 määräilevä, määräilevän, määräilevää, määräilevänä, määräilevään, määräilevien, määräileviä, määräilevinä, määräilevissä, määräileviin
 määräinen, määräisen, määräistä, määräisenä, määräiseen, määräisten, määräisiä, määräisinä, määräisissä, määräisiin
 määrällinen, määrällisen, määrällistä, määrällisenä, määrälliseen, määrällisten, määrällisiä, määrällisinä, määrällisissä, määrällisiin
 määräävä, määräävän, määräävää, määräävänä, määräävään, määräävien, määrääviä, määräävinä, määräävissä, määrääviin
 nafti, naftin, naftia, naftina, naftiin, naftien, nafteja, nafteina, nafteissa, nafteihin
 naiivi, naiivin, naiivia, naiivina, naiiviin, naiivien, naiiveja, naiiveina, naiiveissa, naiiveihin
 naisellinen, naisellisen, naisellista, naisellisena, naiselliseen, naisellisten, naisellisia, naisellisina, naisellisissa, naisellisiin
 naismainen, naismaisen, naismaista, naismaisena, naismaiseen, naismaisten, naismaisia, naismaisina, naismaisissa, naismaisiin
 narsistinen, narsistisen, narsistista, narsistisena, narsistiseen, narsististen, narsistisia, narsistisina, narsistisissa, narsistisiin
 naseva, nasevan, nasevaa, nasevana, nasevaan, nasevien, nasevia, nasevina, nasevissa, naseviin
 naurettava, naurettavan, naurettavaa, naurettavana, naurettavaan, naurettavien, naurettavia, naurettavina, naurettavissa, naurettaviin
 nautinnollinen, nautinnollisen, nautinnollista, nautinnollisena, nautinnolliseen, nautinnollisten, nautinnollisia, nautinnollisina, nautinnollisissa, nautinnollisiin
 nautittava, nautittavan, nautittavaa, nautittavana, nautittavaan, nautittavien, nautittavia, nautittavina, nautittavissa, nautittaviin
 negatiivinen, negatiivisen, negatiivista, negatiivisena, negatiiviseen, negatiivisten, negatiivisia, negatiivisina, negatiivisissa, negatiivisiin
 neitseellinen, neitseellisen, neitseellistä, neitseellisenä, neitseelliseen, neitseellisten, neitseellisiä, neitseellisinä, neitseellisissä, neitseellisiin
 nenäkäs, nenäkkään, nenäkästä, nenäkkäänä, nenäkkääseen, nenäkkäiden, nenäkkäitä, nenäkkäinä, nenäkkäissä, nenäkkäisiin
 nerokas, nerokkaan, nerokasta, nerokkaana, nerokkaaseen, nerokkaiden, nerokkaita, nerokkaina, nerokkaissa, nerokkaisiin
 neutraali, neutraalin, neutraalia, neutraalina, neutraaliin, neutraaleiden, neutraaleita, neutraaleina, neutraaleissa, neutraaleihin
 neuvokas, neuvokkaan, neuvokasta, neuvokkaana, neuvokkaaseen, neuvokkaiden, neuvokkaita, neuvokkaina, neuvokkaissa, neuvokkaisiin
 nihkeä, nihkeän, nihkeää, nihkeänä, nihkeään, nihkeiden, nihkeitä, nihkeinä, nihkeissä, nihkeisiin
 nimellinen, nimellisen, nimellistä, nimellisenä, nimelliseen, nimellisten, nimellisiä, nimellisinä, nimellisissä, nimellisiin
 nirso, nirson, nirsoa, nirsona, nirsoon, nirsojen, nirsoja, nirsoina, nirsoissa, nirsoihin
 nokkava, nokkavan, nokkavaa, nokkavana, nokkavaan, nokkavien, nokkavia, nokkavina, nokkavissa, nokkaviin
 nokkela, nokkelan, nokkelaa, nokkelana, nokkelaan, nokkelien, nokkelia, nokkelina, nokkelissa, nokkeliin
 nolo, nolon, noloa, nolona, noloon, nolojen, noloja, noloina, noloissa, noloihin
 nopea, nopean, nopeaa, nopeana, nopeaan, nopeiden, nopeita, nopeina, nopeissa, nopeisiin
 nopsa, nopsan, nopsaa, nopsana, nopsaan, nopsien, nopsia, nopsina, nopsissa, nopsiin
 normaali, normaalin, normaalia, normaalina, normaaliin, normaaleiden, normaaleita, normaaleina, normaaleissa, normaaleihin
 nostalginen, nostalgisen, nostalgista, nostalgisena, nostalgiseen, nostalgisten, nostalgisia, nostalgisina, nostalgisissa, nostalgisiin
 notkea, notkean, notkeaa, notkeana, notkeaan, notkeiden, notkeita, notkeina, notkeissa, notkeisiin
 nuiva, nuivan, nuivaa, nuivana, nuivaan, nuivien, nuivia, nuivina, nuivissa, nuiviin
 numerollinen, numerollisen, numerollista, numerollisena, numerolliseen, numerollisten, numerollisia, numerollisina, numerollisissa, numerollisiin
 nuorekas, nuorekkaan, nuorekasta, nuorekkaana, nuorekkaaseen, nuorekkaiden, nuorekkaita, nuorekkaina, nuorekkaissa, nuorekkaisiin
 nurinkurinen, nurinkurisen, nurinkurista, nurinkurisena, nurinkuriseen, nurinkuristen, nurinkurisia, nurinkurisina, nurinkurisissa, nurinkurisiin
 nurja, nurjan, nurjaa, nurjana, nurjaan, nurjien, nurjia, nurjina, nurjissa, nurjiin
 nuuka, nuukan, nuukaa, nuukana, nuukaan, nuukien, nuukia, nuukina, nuukissa, nuukiin
 nyreä, nyreän, nyreää, nyreänä, nyreään, nyreiden, nyreitä, nyreinä, nyreissä, nyreisiin
 nyrpeä, nyrpeän, nyrpeää, nyrpeänä, nyrpeään, nyrpeiden, nyrpeitä, nyrpeinä, nyrpeissä, nyrpeisiin
 näennäinen, näennäisen, näennäistä, näennäisenä, näennäiseen, näennäisten, näennäisiä, näennäisinä, näennäisissä, näennäisiin
 nähtävä, nähtävän, nähtävää, nähtävänä, nähtävään, nähtävien, nähtäviä, nähtävinä, nähtävissä, nähtäviin
 näkyvä, näkyvän, näkyvää, näkyvänä, näkyvään, näkyvien, näkyviä, näkyvinä, näkyvissä, näkyviin
 näppärä, näppärän, näppärää, näppäränä, näppärään, näppärien, näppäriä, näppärinä, näppärissä, näppäriin
 näpsä, näpsän, näpsää, näpsänä, näpsään, näpsien, näpsiä, näpsinä, näpsissä, näpsiin
 nöyrä, nöyrän, nöyrää, nöyränä, nöyrään, nöyrien, nöyriä, nöyrinä, nöyrissä, nöyriin
 objektiivinen, objektiivisen, objektiivista, objektiivisena, objektiiviseen, objektiivisten, objektiivisia, objektiivisina, objektiivisissa, objektiivisiin
 ohjelmallinen, ohjelmallisen, ohjelmallista, ohjelmallisena, ohjelmalliseen, ohjelmallisten, ohjelmallisia, ohjelmallisina, ohjelmallisissa, ohjelmallisiin
 ohrainen, ohraisen, ohraista, ohraisena, ohraiseen, ohraisten, ohraisia, ohraisina, ohraisissa, ohraisiin
 oikea, oikean, oikeaa, oikeana, oikeaan, oikeiden, oikeita, oikeina, oikeissa, oikeisiin
 oikeudellinen, oikeudellisen, oikeudellista, oikeudellisena, oikeudelliseen, oikeudellisten, oikeudellisia, oikeudellisina, oikeudellisissa, oikeudellisiin
 oikukas, oikukkaan, oikukasta, oikukkaana, oikukkaaseen, oikukkaiden, oikukkaita, oikukkaina, oikukkaissa, oikukkaisiin
 oikullinen, oikullisen, oikullista, oikullisena, oikulliseen, oikullisten, oikullisia, oikullisina, oikullisissa, oikullisiin
 oivallinen, oivallisen, oivallista, oivallisena, oivalliseen, oivallisten, oivallisia, oivallisina, oivallisissa, oivallisiin
 olennainen, olennaisen, olennaista, olennaisena, olennaiseen, olennaisten, olennaisia, olennaisina, olennaisissa, olennaisiin
 omahyväinen, omahyväisen, omahyväista, omahyväisena, omahyväiseen, omahyväisten, omahyväisia, omahyväisina, omahyväisissa, omahyväisiin
 omainen, omaisen, omaista, omaisena, omaiseen, omaisten, omaisia, omaisina, omaisissa, omaisiin
 ominainen, ominaisen, ominaista, ominaisena, ominaiseen, ominaisten, ominaisia, ominaisina, ominaisissa, ominaisiin
 omintakeinen, omintakeisen, omintakeista, omintakeisena, omintakeiseen, omintakeisten, omintakeisia, omintakeisina, omintakeisissa, omintakeisiin
 omituinen, omituisen, omituista, omituisena, omituiseen, omituisten, omituisia, omituisina, omituisissa, omituisiin
 ongelmallinen, ongelmallisen, ongelmallista, ongelmallisena, ongelmalliseen, ongelmallisten, ongelmallisia, ongelmallisina, ongelmallisissa, ongelmallisiin
 onnekas, onnekkaan, onnekasta, onnekkaana, onnekkaaseen, onnekkaiden, onnekkaita, onnekkaina, onnekkaissa, onnekkaisiin
 onnellinen, onnellisen, onnellista, onnellisena, onnelliseen, onnellisten, onnellisia, onnellisina, onnellisissa, onnellisiin
 onnistunut, onnistuneen, onnistunutta, onnistuneena, onnistuneeseen, onnistuneiden, onnistuneita, onnistuneina, onnistuneissa, onnistuneisiin
 operatiivinen, operatiivisen, operatiivista, operatiivisena, operatiiviseen, operatiivisten, operatiivisia, operatiivisina, operatiivisissa, operatiivisiin
 opettava, opettavan, opettavaa, opettavana, opettavaan, opettavien, opettavia, opettavina, opettavissa, opettaviin
 opettavainen, opettavaisen, opettavaista, opettavaisena, opettavaiseen, opettavaisten, opettavaisia, opettavaisina, opettavaisissa, opettavaisiin
 opillinen, opillisen, opillista, opillisena, opilliseen, opillisten, opillisia, opillisina, opillisissa, opillisiin
 oppinut, oppineen, oppinutta, oppineena, oppineeseen, oppineiden, oppineita, oppineina, oppineissa, oppineisiin
 optimistinen, optimistisen, optimistista, optimistisena, optimistiseen, optimististen, optimistisia, optimistisina, optimistisissa, optimistisiin
 optinen, optisen, optista, optisena, optiseen, optisten, optisia, optisina, optisissa, optisiin
 orgaaninen, orgaanisen, orgaanista, orgaanisena, orgaaniseen, orgaanisten, orgaanisia, orgaanisina, orgaanisissa, orgaanisiin
 orjallinen, orjallisen, orjallista, orjallisena, orjalliseen, orjallisten, orjallisia, orjallisina, orjallisissa, orjallisiin
 osuva, osuvan, osuvaa, osuvana, osuvaan, osuvien, osuvia, osuvina, osuvissa, osuviin
 otollinen, otollisen, otollista, otollisena, otolliseen, otollisten, otollisia, otollisina, otollisissa, otollisiin
 ovela, ovelan, ovelaa, ovelana, ovelaan, ovelien, ovelia, ovelina, ovelissa, oveliin
 paatoksellinen, paatoksellisen, paatoksellista, paatoksellisena, paatokselliseen, paatoksellisten, paatoksellisia, paatoksellisina, paatoksellisissa, paatoksellisiin
 paha, pahan, pahaa, pahana, pahaan, pahojen, pahoja, pahoina, pahoissa, pahoihin
 pahankurinen, pahankurisen, pahankurista, pahankurisena, pahankuriseen, pahankuristen, pahankurisia, pahankurisina, pahankurisissa, pahankurisiin
 pahanlainen, pahanlaisen, pahanlaista, pahanlaisena, pahanlaiseen, pahanlaisten, pahanlaisia, pahanlaisina, pahanlaisissa, pahanlaisiin
 paheellinen, paheellisen, paheellista, paheellisena, paheelliseen, paheellisten, paheellisia, paheellisina, paheellisissa, paheellisiin
 paikallinen, paikallisen, paikallista, paikallisena, paikalliseen, paikallisten, paikallisia, paikallisina, paikallisissa, paikallisiin
 painava, painavan, painavaa, painavana, painavaan, painavien, painavia, painavina, painavissa, painaviin
 painoinen, painoisen, painoista, painoisena, painoiseen, painoisten, painoisia, painoisina, painoisissa, painoisiin
 painokas, painokkaan, painokasta, painokkaana, painokkaaseen, painokkaiden, painokkaita, painokkaina, painokkaissa, painokkaisiin
 painotteinen, painotteisen, painotteista, painotteisena, painotteiseen, painotteisten, painotteisia, painotteisina, painotteisissa, painotteisiin
 pakana, pakanan, pakanaa, pakanana, pakanaan, pakanoiden, pakanoita, pakanoina, pakanoissa, pakanoihin
 paksu, paksun, paksua, paksuna, paksuun, paksujen, paksuja, paksuina, paksuissa, paksuihin
 papillinen, papillisen, papillista, papillisena, papilliseen, papillisten, papillisia, papillisina, papillisissa, papillisiin
 paradoksaalinen, paradoksaalisen, paradoksaalista, paradoksaalisena, paradoksaaliseen, paradoksaalisten, paradoksaalisia, paradoksaalisina, paradoksaalisissa, paradoksaalisiin
 parlamentaarinen, parlamentaarisen, parlamentaarista, parlamentaarisena, parlamentaariseen, parlamentaaristen, parlamentaarisia, parlamentaarisina, parlamentaarisissa, parlamentaarisiin
 parodinen, parodisen, parodista, parodisena, parodiseen, parodisten, parodisia, parodisina, parodisissa, parodisiin
 pasifistinen, pasifistisen, pasifistista, pasifistisena, pasifistiseen, pasifististen, pasifistisia, pasifistisina, pasifistisissa, pasifistisiin
 passiivinen, passiivisen, passiivista, passiivisena, passiiviseen, passiivisten, passiivisia, passiivisina, passiivisissa, passiivisiin
 pateettinen, pateettisen, pateettista, pateettisena, pateettiseen, pateettisten, pateettisia, pateettisina, pateettisissa, pateettisiin
 pedagoginen, pedagogisen, pedagogista, pedagogisena, pedagogiseen, pedagogisten, pedagogisia, pedagogisina, pedagogisissa, pedagogisiin
 pedanttinen, pedanttisen, pedanttista, pedanttisena, pedanttiseen, pedanttisten, pedanttisia, pedanttisina, pedanttisissa, pedanttisiin
 pehmeä, pehmeän, pehmeää, pehmeänä, pehmeään, pehmeiden, pehmeitä, pehmeinä, pehmeissä, pehmeisiin
 peijakas, peijakkaan, peijakasta, peijakkaana, peijakkaaseen, peijakkaiden, peijakkaita, peijakkaina, peijakkaissa, peijakkaisiin
 pelokas, pelokkaan, pelokasta, pelokkaana, pelokkaaseen, pelokkaiden, pelokkaita, pelokkaina, pelokkaissa, pelokkaisiin
 pelottava, pelottavan, pelottavaa, pelottavana, pelottavaan, pelottavien, pelottavia, pelottavina, pelottavissa, pelottaviin
 penseä, penseän, penseää, penseänä, penseään, penseiden, penseitä, penseinä, penseissä, penseisiin
 pentele, penteleen, pentelettä, penteleenä, penteleeseen, penteleiden, penteleitä, penteleinä, penteleissä, penteleisiin
 perinnäinen, perinnäisen, perinnäistä, perinnäisenä, perinnäiseen, perinnäisten, perinnäisiä, perinnäisinä, perinnäisissä, perinnäisiin
 perinteellinen, perinteellisen, perinteellistä, perinteellisenä, perinteelliseen, perinteellisten, perinteellisiä, perinteellisinä, perinteellisissä, perinteellisiin
 periodinen, periodisen, periodista, periodisena, periodiseen, periodisten, periodisia, periodisina, periodisissa, periodisiin
 perkele, perkeleen, perkelettä, perkeleenä, perkeleeseen, perkeleiden, perkeleitä, perkeleinä, perkeleissä, perkeleisiin
 persoonallinen, persoonallisen, persoonallista, persoonallisena, persoonalliseen, persoonallisten, persoonallisia, persoonallisina, persoonallisissa, persoonallisiin
 perusteellinen, perusteellisen, perusteellista, perusteellisena, perusteelliseen, perusteellisten, perusteellisia, perusteellisina, perusteellisissa, perusteellisiin
 peräkkäinen, peräkkäisen, peräkkäistä, peräkkäisenä, peräkkäiseen, peräkkäisten, peräkkäisiä, peräkkäisinä, peräkkäisissä, peräkkäisiin
 perättäinen, perättäisen, perättäistä, perättäisenä, perättäiseen, perättäisten, perättäisiä, perättäisinä, perättäisissä, perättäisiin
 pessimistinen, pessimistisen, pessimististä, pessimistisenä, pessimistiseen, pessimististen, pessimistisiä, pessimistisinä, pessimistisissä, pessimistisiin
 petoksellinen, petoksellisen, petoksellista, petoksellisena, petokselliseen, petoksellisten, petoksellisia, petoksellisina, petoksellisissa, petoksellisiin
 petollinen, petollisen, petollista, petollisena, petolliseen, petollisten, petollisia, petollisina, petollisissa, petollisiin
 pidättyvä, pidättyvän, pidättyvää, pidättyvänä, pidättyvään, pidättyvien, pidättyviä, pidättyvinä, pidättyvissä, pidättyviin
 pidättyväinen, pidättyväisen, pidättyväistä, pidättyväisenä, pidättyväiseen, pidättyväisten, pidättyväisiä, pidättyväisinä, pidättyväisissä, pidättyväisiin
 pieteettinen, pieteettisen, pieteettistä, pieteettisenä, pieteettiseen, pieteettisten, pieteettisiä, pieteettisinä, pieteettisissä, pieteettisiin
 piikikäs, piikikkään, piikikästä, piikikkäänä, piikikkääseen, piikikkäiden, piikikkäitä, piikikkäinä, piikikkäissä, piikikkäisiin
 piinallinen, piinallisen, piinallista, piinallisena, piinalliseen, piinallisten, piinallisia, piinallisina, piinallisissa, piinallisiin
 pikainen, pikaisen, pikaista, pikaisena, pikaiseen, pikaisten, pikaisia, pikaisina, pikaisissa, pikaisiin
 pilkallinen, pilkallisen, pilkallista, pilkallisena, pilkalliseen, pilkallisten, pilkallisia, pilkallisina, pilkallisissa, pilkallisiin
 pimeä, pimeän, pimeää, pimeänä, pimeään, pimeiden, pimeitä, pimeinä, pimeissä, pimeisiin
 pinnallinen, pinnallisen, pinnallista, pinnallisena, pinnalliseen, pinnallisten, pinnallisia, pinnallisina, pinnallisissa, pinnallisiin
 piru, pirun, pirua, piruna, piruun, pirujen, piruja, piruina, piruissa, piruihin
 pirullinen, pirullisen, pirullista, pirullisena, pirulliseen, pirullisten, pirullisia, pirullisina, pirullisissa, pirullisiin
 pisteliäs, pisteliään, pisteliästä, pisteliäänä, pisteliääseen, pisteliäiden, pisteliäitä, pisteliäinä, pisteliäissä, pisteliäisiin
 pitkä, pitkän, pitkää, pitkänä, pitkään, pitkien, pitkiä, pitkinä, pitkissä, pitkiin
 pitkästyttävä, pitkästyttävän, pitkästyttävää, pitkästyttävänä, pitkästyttävään, pitkästyttävien, pitkästyttäviä, pitkästyttävinä, pitkästyttävissä, pitkästyttäviin
 pitkäveteinen, pitkäveteisen, pitkäveteistä, pitkäveteisenä, pitkäveteiseen, pitkäveteisten, pitkäveteisiä, pitkäveteisinä, pitkäveteisissä, pitkäveteisiin
 plastinen, plastisen, plastista, plastisena, plastiseen, plastisten, plastisia, plastisina, plastisissa, plastisiin
 pneumaattinen, pneumaattisen, pneumaattista, pneumaattisena, pneumaattiseen, pneumaattisten, pneumaattisia, pneumaattisina, pneumaattisissa, pneumaattisiin
 pohjainen, pohjaisen, pohjaista, pohjaisena, pohjaiseen, pohjaisten, pohjaisia, pohjaisina, pohjaisissa, pohjaisiin
 poikkeava, poikkeavan, poikkeavaa, poikkeavana, poikkeavaan, poikkeavien, poikkeavia, poikkeavina, poikkeavissa, poikkeaviin
 poikkeuksellinen, poikkeuksellisen, poikkeuksellista, poikkeuksellisena, poikkeukselliseen, poikkeuksellisten, poikkeuksellisia, poikkeuksellisina, poikkeuksellisissa, poikkeuksellisiin
 poleeminen, poleemisen, poleemista, poleemisena, poleemiseen, poleemisten, poleemisia, poleemisina, poleemisissa, poleemisiin
 poliittinen, poliittisen, poliittista, poliittisena, poliittiseen, poliittisten, poliittisia, poliittisina, poliittisissa, poliittisiin
 poljennollinen, poljennollisen, poljennollista, poljennollisena, poljennolliseen, poljennollisten, poljennollisia, poljennollisina, poljennollisissa, poljennollisiin
 ponnekas, ponnekkaan, ponnekasta, ponnekkaana, ponnekkaaseen, ponnekkaiden, ponnekkaita, ponnekkaina, ponnekkaissa, ponnekkaisiin
 ponteva, pontevan, pontevaa, pontevana, pontevaan, pontevien, pontevia, pontevina, pontevissa, ponteviin
 porvarillinen, porvarillisen, porvarillista, porvarillisena, porvarilliseen, porvarillisten, porvarillisia, porvarillisina, porvarillisissa, porvarillisiin
 positiivinen, positiivisen, positiivista, positiivisena, positiiviseen, positiivisten, positiivisia, positiivisina, positiivisissa, positiivisiin
 potentiaalinen, potentiaalisen, potentiaalista, potentiaalisena, potentiaaliseen, potentiaalisten, potentiaalisia, potentiaalisina, potentiaalisissa, potentiaalisiin
 pragmaattinen, pragmaattisen, pragmaattista, pragmaattisena, pragmaattiseen, pragmaattisten, pragmaattisia, pragmaattisina, pragmaattisissa, pragmaattisiin
 pramea, pramean, prameaa, prameana, prameaan, prameiden, prameita, prameina, prameissa, prameisiin
 primaari, primaarin, primaaria, primaarina, primaariin, primaarien, primaareja, primaareina, primaareissa, primaareihin
 primaarinen, primaarisen, primaarista, primaarisena, primaariseen, primaaristen, primaarisia, primaarisina, primaarisissa, primaarisiin
 primitiivinen, primitiivisen, primitiivistä, primitiivisenä, primitiiviseen, primitiivisten, primitiivisiä, primitiivisinä, primitiivisissä, primitiivisiin
 problemaattinen, problemaattisen, problemaattista, problemaattisena, problemaattiseen, problemaattisten, problemaattisia, problemaattisina, problemaattisissa, problemaattisiin
 profeetallinen, profeetallisen, profeetallista, profeetallisena, profeetalliseen, profeetallisten, profeetallisia, profeetallisina, profeetallisissa, profeetallisiin
 profylaktinen, profylaktisen, profylaktista, profylaktisena, profylaktiseen, profylaktisten, profylaktisia, profylaktisina, profylaktisissa, profylaktisiin
 progressiivinen, progressiivisen, progressiivista, progressiivisena, progressiiviseen, progressiivisten, progressiivisia, progressiivisina, progressiivisissa, progressiivisiin
 prosentuaalinen, prosentuaalisen, prosentuaalista, prosentuaalisena, prosentuaaliseen, prosentuaalisten, prosentuaalisia, prosentuaalisina, prosentuaalisissa, prosentuaalisiin
 provokatiivinen, provokatiivisen, provokatiivista, provokatiivisena, provokatiiviseen, provokatiivisten, provokatiivisia, provokatiivisina, provokatiivisissa, provokatiivisiin
 provokatorinen, provokatorisen, provokatorista, provokatorisena, provokatoriseen, provokatoristen, provokatorisia, provokatorisina, provokatorisissa, provokatorisiin
 psykologinen, psykologisen, psykologista, psykologisena, psykologiseen, psykologisten, psykologisia, psykologisina, psykologisissa, psykologisiin
 psykoottinen, psykoottisen, psykoottista, psykoottisena, psykoottiseen, psykoottisten, psykoottisia, psykoottisina, psykoottisissa, psykoottisiin
 psyykkinen, psyykkisen, psyykkistä, psyykkisenä, psyykkiseen, psyykkisten, psyykkisiä, psyykkisinä, psyykkisissä, psyykkisiin
 puiseva, puisevan, puisevaa, puisevana, puisevaan, puisevien, puisevia, puisevina, puisevissa, puiseviin
 pulska, pulskan, pulskaa, pulskana, pulskaan, pulskien, pulskia, pulskina, pulskissa, pulskiin
 puoleinen, puoleisen, puoleista, puoleisena, puoleiseen, puoleisten, puoleisia, puoleisina, puoleisissa, puoleisiin
 puolueellinen, puolueellisen, puolueellista, puolueellisena, puolueelliseen, puolueellisten, puolueellisia, puolueellisina, puolueellisissa, puolueellisiin
 puolustuksellinen, puolustuksellisen, puolustuksellista, puolustuksellisena, puolustukselliseen, puolustuksellisten, puolustuksellisia, puolustuksellisina, puolustuksellisissa, puolustuksellisiin
 pureva, purevan, purevaa, purevana, purevaan, purevien, purevia, purevina, purevissa, pureviin
 puristeinen, puristeisen, puristeista, puristeisena, puristeiseen, puristeisten, puristeisia, puristeisina, puristeisissa, puristeisiin
 puristinen, puristisen, puristista, puristisena, puristiseen, purististen, puristisia, puristisina, puristisissa, puristisiin
 puritaaninen, puritaanisen, puritaanista, puritaanisena, puritaaniseen, puritaanisten, puritaanisia, puritaanisina, puritaanisissa, puritaanisiin
 puuhakas, puuhakkaan, puuhakasta, puuhakkaana, puuhakkaaseen, puuhakkaiden, puuhakkaita, puuhakkaina, puuhakkaissa, puuhakkaisiin
 puuskittainen, puuskittaisen, puuskittaista, puuskittaisena, puuskittaiseen, puuskittaisten, puuskittaisia, puuskittaisina, puuskittaisissa, puuskittaisiin
 puutteellinen, puutteellisen, puutteellista, puutteellisena, puutteelliseen, puutteellisten, puutteellisia, puutteellisina, puutteellisissa, puutteellisiin
 pyhä, pyhän, pyhää, pyhänä, pyhään, pyhien, pyhiä, pyhinä, pyhissä, pyhiin
 pysyväinen, pysyväisen, pysyväistä, pysyväisenä, pysyväiseen, pysyväisten, pysyväisiä, pysyväisinä, pysyväisissä, pysyväisiin
 pyöreä, pyöreän, pyöreää, pyöreänä, pyöreään, pyöreiden, pyöreitä, pyöreinä, pyöreissä, pyöreisiin
